red,green,blue,label
12,89,16,dark
149,234,197,light
250,191,146,light
163,158,156,light
110,7,73,dark
216,213,181,light
219,177,185,light
141,134,230,light
112,28,91,dark
195,196,175,light
150,196,178,light
98,117,63,dark
217,142,144,light
11,103,61,dark
75,19,46,dark
147,197,201,light
122,87,119,dark
168,158,218,light
115,51,86,dark
117,12,18,dark
184,136,157,light
136,185,181,light
242,199,226,light
147,139,200,light
46,35,12,dark
85,123,23,dark
220,210,239,light
93,111,52,dark
190,210,130,light
192,177,172,light
101,94,98,dark
129,164,218,light
137,213,244,light
136,233,245,light
174,159,161,light
82,14,23,dark
154,189,134,light
254,232,168,light
216,192,135,light
110,95,9,dark
219,229,210,light
179,163,145,light
11,76,49,dark
102,76,53,dark
202,185,144,light
74,8,23,dark
52,24,19,dark
35,112,64,dark
235,192,219,light
98,76,109,dark
83,72,26,dark
111,76,17,dark
1,62,10,dark
150,241,240,light
69,95,10,dark
171,155,224,light
212,202,237,light
28,65,43,dark
169,203,190,light
112,46,9,dark
171,155,145,light
128,140,148,light
21,40,126,dark
73,1,116,dark
99,85,0,dark
76,64,37,dark
0,117,51,dark
234,194,167,light
112,74,124,dark
83,121,65,dark
165,234,133,light
248,188,131,light
23,48,56,dark
57,65,50,dark
30,104,10,dark
196,230,135,light
32,29,83,dark
213,249,222,light
155,207,152,light
162,214,245,light
125,6,31,dark
142,147,248,light
79,111,90,dark
17,0,102,dark
82,9,124,dark
215,238,174,light
210,177,132,light
207,229,152,light
205,128,238,light
79,54,7,dark
147,150,223,light
172,179,245,light
133,172,151,light
155,225,175,light
150,169,131,light
196,220,173,light
130,150,245,light
11,46,85,dark
163,172,140,light
77,119,26,dark
145,230,153,light
111,87,42,dark
129,129,242,light
183,149,166,light
198,250,155,light
250,161,241,light
177,189,250,light
129,214,234,light
63,89,12,dark
79,76,46,dark
199,131,214,light
21,33,9,dark
71,45,65,dark
218,159,172,light
48,102,124,dark
4,91,120,dark
252,251,209,light
44,49,90,dark
159,206,196,light
122,119,86,dark
125,14,122,dark
216,191,152,light
201,220,222,light
245,226,223,light
204,193,245,light
139,188,231,light
107,54,94,dark
155,241,201,light
97,51,96,dark
240,163,240,light
188,142,187,light
75,81,41,dark
59,57,96,dark
75,29,66,dark
132,239,166,light
13,101,27,dark
46,102,46,dark
206,131,225,light
66,74,45,dark
41,2,6,dark
48,71,16,dark
216,158,243,light
69,13,100,dark
37,27,125,dark
231,207,147,light
41,91,24,dark
140,240,212,light
16,14,6,dark
7,67,43,dark
105,89,26,dark
229,137,160,light
65,109,87,dark
6,105,59,dark
207,248,249,light
69,20,14,dark
160,205,232,light
134,237,247,light
33,42,82,dark
117,47,68,dark
113,92,99,dark
115,69,81,dark
208,246,137,light
13,75,32,dark
112,78,96,dark
217,154,183,light
16,35,44,dark
84,77,51,dark
208,240,182,light
133,138,152,light
90,29,58,dark
192,249,192,light
73,98,25,dark
8,111,93,dark
39,112,61,dark
215,246,154,light
252,222,180,light
252,204,141,light
8,45,67,dark
26,99,4,dark
12,94,6,dark
142,197,246,light
19,115,17,dark
1,33,61,dark
150,203,173,light
57,15,50,dark
22,11,67,dark
87,12,90,dark
242,168,163,light
56,81,69,dark
231,154,156,light
48,41,25,dark
208,210,145,light
7,16,2,dark
131,181,205,light
67,126,114,dark
117,115,114,dark
139,181,201,light
69,21,73,dark
233,155,239,light
179,130,154,light
231,237,164,light
12,17,73,dark
29,52,34,dark
40,1,83,dark
73,84,8,dark
123,29,67,dark
20,77,12,dark
97,69,41,dark
135,250,181,light
144,128,138,light
203,183,140,light
162,127,190,light
193,128,191,light
247,165,221,light
117,115,0,dark
79,109,112,dark
129,248,229,light
182,196,128,light
70,83,78,dark
29,99,0,dark
125,100,36,dark
44,119,105,dark
47,78,83,dark
254,219,243,light
209,169,227,light
15,121,15,dark
60,99,102,dark
103,92,61,dark
53,64,80,dark
38,11,85,dark
225,210,143,light
109,33,119,dark
9,73,50,dark
78,119,113,dark
98,34,10,dark
54,69,12,dark
250,208,195,light
196,219,149,light
141,210,127,light
131,248,139,light
102,63,3,dark
124,102,35,dark
187,130,211,light
152,204,151,light
238,205,203,light
190,130,143,light
239,242,221,light
77,64,51,dark
59,33,6,dark
19,113,60,dark
250,223,154,light
235,175,152,light
130,186,202,light
81,21,26,dark
247,145,141,light
217,157,214,light
23,41,30,dark
38,107,33,dark
195,189,219,light
119,96,65,dark
252,234,214,light
73,88,36,dark
30,50,120,dark
201,201,160,light
119,23,14,dark
228,131,227,light
197,174,204,light
172,218,190,light
123,108,25,dark
85,2,85,dark
49,56,109,dark
28,88,78,dark
226,212,180,light
142,135,173,light
143,232,253,light
101,102,64,dark
131,142,178,light
192,218,179,light
67,36,24,dark
2,121,13,dark
209,141,144,light
11,77,29,dark
139,240,154,light
69,66,24,dark
196,211,155,light
57,95,48,dark
196,207,176,light
17,40,80,dark
123,5,125,dark
169,167,152,light
63,33,21,dark
173,237,191,light
213,237,253,light
136,175,232,light
210,165,156,light
14,104,114,dark
192,240,145,light
214,246,186,light
174,155,204,light
132,219,202,light
162,222,157,light
42,107,121,dark
105,65,52,dark
60,75,105,dark
223,128,234,light
63,94,77,dark
177,193,162,light
17,2,108,dark
170,235,195,light
84,23,2,dark
185,191,203,light
197,144,213,light
215,202,227,light
23,87,53,dark
41,92,62,dark
107,105,122,dark
239,129,215,light
61,70,26,dark
136,210,239,light
156,223,214,light
208,166,136,light
110,111,88,dark
225,218,172,light
39,104,78,dark
144,136,179,light
251,154,138,light
158,167,223,light
28,96,108,dark
240,178,170,light
102,68,78,dark
190,194,162,light
16,99,1,dark
137,165,201,light
118,1,16,dark
34,0,52,dark
236,181,239,light
85,13,11,dark
47,110,115,dark
196,141,147,light
156,196,254,light
211,227,209,light
163,157,172,light
74,15,95,dark
58,78,27,dark
141,143,244,light
232,212,218,light
24,25,38,dark
217,149,158,light
167,147,164,light
43,16,36,dark
222,226,244,light
2,7,6,dark
112,66,56,dark
176,218,188,light
141,251,224,light
194,226,140,light
246,243,194,light
110,84,76,dark
218,162,187,light
33,125,124,dark
24,38,110,dark
20,117,46,dark
236,197,161,light
189,227,185,light
54,85,83,dark
147,187,214,light
6,38,92,dark
114,67,118,dark
108,9,23,dark
44,7,51,dark
54,38,18,dark
134,246,130,light
99,101,22,dark
254,197,186,light
166,240,179,light
119,56,118,dark
224,209,215,light
118,5,68,dark
158,161,170,light
229,171,206,light
233,202,218,light
119,85,124,dark
252,147,137,light
139,219,157,light
42,5,124,dark
96,107,50,dark
173,232,240,light
121,13,13,dark
66,95,121,dark
188,232,146,light
107,76,66,dark
95,110,6,dark
109,38,86,dark
226,127,132,light
203,129,238,light
244,148,173,light
66,66,126,dark
114,57,6,dark
188,225,205,light
119,62,88,dark
44,49,76,dark
98,14,5,dark
178,201,158,light
22,99,92,dark
244,142,183,light
115,2,91,dark
1,120,123,dark
29,67,94,dark
118,50,89,dark
163,213,222,light
210,142,168,light
164,166,239,light
53,123,40,dark
100,113,17,dark
213,130,235,light
75,78,9,dark
52,120,39,dark
144,254,243,light
152,250,145,light
46,45,114,dark
148,189,226,light
80,110,106,dark
148,242,182,light
198,154,250,light
106,107,125,dark
202,237,214,light
54,38,56,dark
241,252,195,light
99,14,100,dark
19,25,52,dark
188,207,236,light
165,176,227,light
200,179,191,light
98,60,79,dark
175,249,185,light
208,166,134,light
100,60,100,dark
28,123,64,dark
215,149,241,light
227,159,134,light
74,118,87,dark
63,71,96,dark
77,88,63,dark
141,217,175,light
164,195,235,light
19,36,98,dark
226,160,231,light
116,92,106,dark
182,229,247,light
122,109,116,dark
123,44,3,dark
136,147,188,light
29,23,91,dark
211,202,181,light
136,177,132,light
125,113,83,dark
202,178,236,light
222,217,145,light
84,4,72,dark
185,221,158,light
24,52,51,dark
229,175,145,light
15,69,36,dark
63,76,4,dark
189,241,150,light
60,108,114,dark
164,237,241,light
91,92,79,dark
170,212,190,light
228,217,161,light
43,64,122,dark
184,189,161,light
174,164,163,light
251,221,162,light
246,152,241,light
163,211,205,light
14,66,81,dark
119,10,18,dark
153,145,193,light
210,142,152,light
120,91,27,dark
51,114,57,dark
110,87,102,dark
186,238,211,light
225,217,252,light
224,222,162,light
17,93,81,dark
36,86,56,dark
168,215,181,light
114,71,76,dark
85,53,102,dark
151,156,128,light
13,105,26,dark
150,227,160,light
166,136,169,light
120,58,38,dark
36,18,90,dark
187,221,195,light
206,140,241,light
98,55,83,dark
81,63,65,dark
73,56,33,dark
211,206,242,light
6,38,104,dark
53,120,45,dark
193,224,171,light
184,170,209,light
207,191,144,light
5,62,12,dark
139,222,218,light
19,78,34,dark
57,73,47,dark
211,233,172,light
24,120,23,dark
231,156,216,light
79,115,67,dark
117,17,60,dark
134,136,202,light
85,8,71,dark
234,146,232,light
247,206,239,light
218,138,222,light
57,78,34,dark
19,64,6,dark
43,47,76,dark
218,183,228,light
76,109,61,dark
198,237,130,light
196,128,138,light
243,215,232,light
32,100,84,dark
170,198,160,light
76,50,4,dark
209,128,243,light
20,3,44,dark
124,107,110,dark
141,170,195,light
41,122,0,dark
74,57,86,dark
36,19,5,dark
65,43,41,dark
29,111,95,dark
198,201,240,light
87,52,102,dark
6,46,26,dark
2,93,10,dark
178,128,159,light
83,72,109,dark
247,216,142,light
224,241,224,light
114,112,115,dark
74,62,105,dark
187,248,176,light
2,21,80,dark
229,228,141,light
172,164,238,light
65,126,42,dark
19,17,65,dark
197,218,250,light
106,109,27,dark
131,131,210,light
134,138,180,light
196,219,131,light
232,222,186,light
29,124,3,dark
239,205,193,light
43,95,111,dark
48,32,120,dark
14,6,76,dark
22,46,4,dark
94,33,0,dark
40,30,69,dark
40,106,29,dark
85,47,57,dark
35,46,90,dark
142,134,220,light
98,76,3,dark
151,226,237,light
36,21,31,dark
171,223,141,light
194,174,183,light
17,15,48,dark
191,204,248,light
147,220,210,light
5,63,55,dark
241,212,222,light
190,178,130,light
68,111,86,dark
243,175,158,light
3,102,29,dark
164,166,207,light
242,195,157,light
182,218,179,light
123,4,15,dark
78,74,120,dark
32,27,56,dark
86,58,6,dark
94,102,14,dark
190,171,254,light
126,59,56,dark
117,46,6,dark
43,117,78,dark
73,73,80,dark
226,166,171,light
195,224,155,light
191,238,201,light
232,243,250,light
68,46,102,dark
118,82,97,dark
115,40,62,dark
153,162,209,light
12,34,115,dark
204,174,237,light
85,125,100,dark
91,125,124,dark
235,187,202,light
240,221,153,light
82,43,22,dark
3,1,29,dark
36,95,58,dark
163,157,130,light
161,223,209,light
198,228,209,light
37,110,44,dark
68,104,112,dark
10,71,113,dark
249,204,188,light
221,182,194,light
101,67,81,dark
61,104,26,dark
212,150,196,light
151,128,165,light
35,117,116,dark
0,16,54,dark
90,45,2,dark
11,101,39,dark
93,24,111,dark
29,9,80,dark
10,66,12,dark
182,253,129,light
198,228,250,light
233,253,162,light
56,123,60,dark
170,130,161,light
240,159,154,light
46,110,56,dark
120,90,109,dark
87,62,16,dark
38,63,18,dark
232,222,141,light
147,204,232,light
90,96,87,dark
19,57,71,dark
156,192,143,light
229,181,147,light
34,69,56,dark
14,46,52,dark
34,60,118,dark
191,141,197,light
235,149,233,light
22,109,109,dark
81,122,15,dark
38,89,75,dark
139,252,189,light
28,27,45,dark
96,67,31,dark
141,155,197,light
77,47,35,dark
152,163,252,light
213,238,153,light
54,96,101,dark
101,98,78,dark
48,113,102,dark
120,60,95,dark
40,36,89,dark
154,180,129,light
93,12,14,dark
83,19,123,dark
228,223,178,light
233,212,192,light
101,38,92,dark
237,182,158,light
239,181,236,light
179,132,238,light
74,42,58,dark
66,87,75,dark
7,120,95,dark
115,81,41,dark
191,130,176,light
24,98,71,dark
8,107,111,dark
62,84,48,dark
194,158,192,light
35,28,125,dark
224,237,158,light
6,13,86,dark
36,24,54,dark
82,15,58,dark
217,209,252,light
246,221,177,light
170,195,225,light
64,117,72,dark
50,7,115,dark
202,145,219,light
128,205,232,light
150,166,240,light
139,227,248,light
19,4,92,dark
48,11,118,dark
230,226,134,light
235,128,212,light
131,174,247,light
62,121,19,dark
118,30,37,dark
199,229,141,light
13,111,96,dark
244,180,196,light
218,232,206,light
190,135,136,light
39,105,67,dark
106,88,19,dark
209,212,250,light
119,66,30,dark
112,77,42,dark
190,139,250,light
22,25,73,dark
86,104,111,dark
45,118,41,dark
21,57,117,dark
241,127,174,light
74,118,27,dark
157,212,130,light
25,9,64,dark
143,218,237,light
222,127,231,light
4,6,27,dark
117,1,65,dark
67,113,34,dark
61,71,7,dark
103,110,14,dark
194,236,247,light
54,48,70,dark
67,87,16,dark
3,50,30,dark
182,192,233,light
167,155,195,light
47,25,97,dark
248,147,238,light
185,228,216,light
74,74,22,dark
26,79,86,dark
57,29,119,dark
133,197,182,light
151,159,201,light
204,218,237,light
124,93,50,dark
136,234,131,light
105,41,31,dark
246,237,230,light
97,112,14,dark
145,159,152,light
146,219,204,light
42,119,91,dark
109,116,62,dark
58,29,109,dark
208,164,144,light
240,243,248,light
132,253,208,light
82,84,13,dark
163,195,143,light
190,230,244,light
251,191,254,light
59,81,92,dark
48,28,118,dark
79,105,121,dark
233,183,211,light
193,153,202,light
62,12,43,dark
49,84,109,dark
223,130,191,light
29,6,117,dark
147,179,235,light
212,142,206,light
241,249,141,light
247,207,183,light
135,254,150,light
226,202,244,light
193,191,229,light
84,73,98,dark
224,132,240,light
141,245,149,light
177,196,215,light
103,105,96,dark
226,196,246,light
221,234,162,light
215,142,234,light
133,171,129,light
31,13,8,dark
198,187,161,light
223,183,133,light
15,105,119,dark
66,58,6,dark
238,168,160,light
159,160,230,light
24,64,48,dark
147,133,195,light
87,76,84,dark
81,103,89,dark
235,252,192,light
87,69,92,dark
142,164,147,light
166,140,183,light
49,49,76,dark
105,105,126,dark
119,76,22,dark
31,114,30,dark
28,93,87,dark
102,47,19,dark
174,243,191,light
146,234,146,light
35,84,23,dark
51,76,59,dark
195,230,141,light
6,23,14,dark
18,84,29,dark
143,224,219,light
6,69,73,dark
194,247,128,light
185,139,130,light
148,150,240,light
127,238,200,light
65,31,110,dark
53,52,75,dark
27,39,69,dark
27,42,6,dark
68,24,86,dark
162,197,195,light
173,233,177,light
73,25,22,dark
23,34,94,dark
184,185,161,light
92,65,125,dark
5,111,17,dark
113,84,23,dark
145,224,215,light
152,196,167,light
9,25,101,dark
122,110,122,dark
210,234,239,light
163,139,168,light
21,62,27,dark
95,37,1,dark
206,212,166,light
131,197,219,light
22,7,103,dark
161,153,189,light
218,134,134,light
219,154,143,light
198,185,244,light
137,142,147,light
11,96,85,dark
37,75,74,dark
247,210,161,light
50,110,49,dark
17,89,101,dark
240,182,159,light
248,209,254,light
127,229,146,light
109,11,110,dark
12,48,41,dark
94,85,18,dark
249,246,166,light
20,16,85,dark
65,71,54,dark
24,67,41,dark
246,242,186,light
162,213,233,light
121,97,46,dark
14,11,6,dark
235,233,238,light
194,144,216,light
9,126,88,dark
160,230,253,light
220,191,181,light
160,191,243,light
244,241,214,light
234,144,247,light
220,128,193,light
104,35,115,dark
77,106,51,dark
8,23,84,dark
11,44,55,dark
87,100,5,dark
174,143,184,light
206,230,141,light
188,196,207,light
10,69,80,dark
201,171,193,light
115,47,1,dark
64,96,88,dark
169,183,219,light
208,233,248,light
160,210,215,light
165,248,168,light
254,155,152,light
35,29,105,dark
228,245,194,light
65,15,66,dark
140,174,129,light
232,137,191,light
223,201,228,light
9,51,63,dark
235,148,203,light
40,36,57,dark
111,29,59,dark
178,205,145,light
69,90,116,dark
239,179,185,light
18,28,7,dark
57,39,33,dark
191,191,184,light
42,100,112,dark
192,166,252,light
67,28,82,dark
113,120,28,dark
252,197,202,light
125,78,45,dark
64,123,81,dark
75,53,117,dark
107,118,90,dark
78,82,94,dark
157,228,205,light
30,81,66,dark
38,23,119,dark
123,24,80,dark
58,23,26,dark
157,217,207,light
79,42,110,dark
119,84,83,dark
95,41,16,dark
39,109,66,dark
85,2,50,dark
96,12,92,dark
144,138,188,light
96,103,65,dark
222,172,186,light
128,238,232,light
4,61,85,dark
57,64,90,dark
29,54,121,dark
105,19,106,dark
119,93,54,dark
215,170,160,light
11,87,115,dark
180,253,228,light
113,31,63,dark
1,111,57,dark
254,214,149,light
144,215,158,light
67,58,31,dark
99,2,119,dark
154,152,253,light
129,154,223,light
43,91,110,dark
172,163,229,light
192,233,220,light
170,168,187,light
227,149,175,light
237,131,148,light
224,158,156,light
136,234,219,light
225,240,180,light
233,201,225,light
127,206,253,light
61,75,112,dark
251,128,192,light
117,5,76,dark
192,238,181,light
165,222,192,light
85,60,90,dark
43,6,117,dark
254,251,240,light
250,146,198,light
57,94,46,dark
100,96,111,dark
156,189,194,light
166,171,252,light
70,100,21,dark
1,55,99,dark
62,57,91,dark
61,62,64,dark
160,131,212,light
145,250,201,light
143,159,236,light
77,13,59,dark
130,136,224,light
167,193,150,light
111,6,86,dark
92,23,78,dark
18,105,10,dark
245,166,143,light
23,78,2,dark
6,35,2,dark
142,189,143,light
182,246,212,light
68,74,34,dark
16,35,56,dark
194,222,248,light
211,139,229,light
69,105,29,dark
189,201,137,light
120,110,82,dark
88,35,121,dark
247,173,140,light
39,50,22,dark
150,179,235,light
137,152,169,light
176,229,178,light
163,200,202,light
111,114,75,dark
109,97,49,dark
79,88,56,dark
16,7,56,dark
201,184,238,light
123,90,17,dark
27,111,14,dark
157,198,165,light
211,133,203,light
77,34,6,dark
85,111,51,dark
58,57,99,dark
37,11,9,dark
202,167,201,light
228,225,224,light
203,185,233,light
81,43,16,dark
164,201,229,light
123,12,115,dark
44,84,88,dark
128,220,203,light
67,8,44,dark
203,243,189,light
76,61,35,dark
71,57,32,dark
203,139,128,light
235,161,142,light
136,157,151,light
12,6,84,dark
127,168,143,light
110,53,115,dark
167,254,213,light
195,156,133,light
215,192,161,light
130,168,184,light
16,119,92,dark
121,49,114,dark
104,114,124,dark
35,75,74,dark
193,198,171,light
87,83,61,dark
7,79,56,dark
11,29,37,dark
33,20,84,dark
62,116,20,dark
64,46,16,dark
70,66,74,dark
119,73,54,dark
173,169,131,light
136,183,253,light
181,142,212,light
172,163,235,light
30,118,69,dark
81,52,48,dark
220,226,242,light
99,47,104,dark
238,241,179,light
11,114,66,dark
111,37,41,dark
108,111,11,dark
39,111,119,dark
249,197,138,light
240,145,145,light
139,148,141,light
84,66,3,dark
218,221,196,light
222,206,199,light
77,76,43,dark
186,251,234,light
13,65,93,dark
30,8,24,dark
82,9,90,dark
214,184,190,light
116,50,15,dark
167,222,133,light
41,27,25,dark
201,127,129,light
199,192,187,light
116,55,60,dark
232,192,231,light
139,179,194,light
79,10,87,dark
154,192,157,light
82,12,19,dark
145,248,238,light
254,238,201,light
217,236,131,light
239,217,132,light
136,191,166,light
78,27,59,dark
10,40,101,dark
238,130,212,light
120,8,98,dark
154,207,178,light
253,244,133,light
247,152,153,light
97,41,49,dark
168,208,233,light
249,175,155,light
209,151,127,light
206,247,210,light
186,223,228,light
224,223,165,light
220,232,236,light
151,219,146,light
149,254,167,light
226,243,192,light
101,110,103,dark
224,172,207,light
175,140,195,light
8,45,105,dark
208,192,141,light
198,199,145,light
232,250,129,light
125,20,71,dark
67,43,105,dark
116,121,115,dark
110,35,8,dark
23,6,45,dark
154,138,146,light
40,8,0,dark
158,154,214,light
109,59,62,dark
247,135,138,light
155,186,163,light
50,82,51,dark
40,35,96,dark
115,17,46,dark
172,214,239,light
212,202,197,light
164,164,139,light
162,250,250,light
42,96,53,dark
223,201,160,light
196,136,144,light
113,37,43,dark
13,82,93,dark
16,83,114,dark
87,6,86,dark
205,222,234,light
177,132,211,light
238,231,176,light
155,201,239,light
93,64,95,dark
189,222,249,light
75,11,50,dark
129,252,192,light
115,122,78,dark
80,57,83,dark
2,101,50,dark
127,227,253,light
24,92,33,dark
47,119,76,dark
236,144,145,light
230,160,210,light
195,242,176,light
125,87,14,dark
107,105,14,dark
43,124,81,dark
230,165,187,light
232,243,192,light
85,27,68,dark
111,22,67,dark
212,129,247,light
68,88,46,dark
118,11,13,dark
72,103,69,dark
67,72,125,dark
225,170,156,light
51,21,34,dark
106,26,56,dark
189,161,139,light
138,239,188,light
139,130,202,light
162,238,216,light
209,251,198,light
251,241,131,light
250,242,155,light
113,21,44,dark
244,192,219,light
151,142,168,light
194,145,138,light
9,21,29,dark
137,251,168,light
88,21,88,dark
223,156,179,light
254,188,246,light
98,10,35,dark
209,174,224,light
84,58,26,dark
112,115,70,dark
156,147,234,light
129,148,182,light
116,87,74,dark
79,50,37,dark
60,25,126,dark
162,136,161,light
180,148,251,light
230,229,199,light
40,92,42,dark
101,0,7,dark
191,136,141,light
141,209,224,light
64,57,123,dark
118,77,17,dark
6,58,63,dark
94,115,56,dark
161,207,166,light
244,229,253,light
227,155,200,light
238,231,181,light
198,206,187,light
230,144,241,light
234,177,203,light
184,194,192,light
56,89,10,dark
200,225,155,light
251,165,186,light
23,94,110,dark
196,248,136,light
181,153,141,light
178,228,205,light
41,16,10,dark
101,94,125,dark
8,3,25,dark
85,42,74,dark
133,185,183,light
4,76,115,dark
233,166,226,light
96,108,23,dark
159,150,158,light
188,138,158,light
42,39,113,dark
79,26,55,dark
14,96,44,dark
184,153,245,light
55,34,103,dark
252,171,201,light
232,149,146,light
175,136,252,light
121,37,73,dark
57,33,86,dark
99,47,115,dark
117,35,55,dark
107,33,8,dark
135,152,252,light
214,247,227,light
25,16,66,dark
181,175,243,light
126,6,10,dark
164,234,168,light
106,122,26,dark
107,94,11,dark
39,85,101,dark
1,83,19,dark
126,46,85,dark
184,197,213,light
249,209,197,light
245,184,146,light
173,134,146,light
155,249,138,light
254,150,149,light
210,216,204,light
80,47,6,dark
230,217,177,light
55,28,29,dark
177,211,193,light
222,180,187,light
163,184,187,light
254,214,201,light
128,132,213,light
86,125,20,dark
20,105,105,dark
150,212,159,light
162,200,151,light
130,196,232,light
36,126,27,dark
42,44,114,dark
232,162,230,light
198,138,140,light
121,16,104,dark
215,243,139,light
181,215,162,light
191,228,202,light
37,5,47,dark
3,14,110,dark
144,223,162,light
70,54,33,dark
125,105,78,dark
253,197,145,light
102,10,116,dark
120,46,104,dark
95,15,5,dark
224,241,172,light
62,112,121,dark
30,47,25,dark
31,53,113,dark
119,7,40,dark
1,90,107,dark
89,35,56,dark
148,128,244,light
105,65,26,dark
212,204,194,light
25,59,93,dark
180,246,250,light
244,185,220,light
17,2,54,dark
167,146,219,light
21,62,84,dark
142,205,160,light
55,95,16,dark
251,165,131,light
7,48,27,dark
134,161,136,light
205,214,134,light
27,94,3,dark
189,151,131,light
0,23,62,dark
28,74,81,dark
239,250,147,light
28,73,69,dark
11,54,83,dark
10,6,65,dark
12,109,112,dark
135,144,191,light
240,231,175,light
103,0,82,dark
162,219,179,light
52,86,27,dark
31,72,93,dark
206,216,237,light
60,14,2,dark
116,91,24,dark
251,146,134,light
238,162,175,light
182,149,226,light
25,14,27,dark
194,165,185,light
212,202,133,light
120,79,37,dark
50,27,107,dark
33,84,121,dark
78,7,32,dark
8,0,115,dark
150,230,143,light
96,27,108,dark
69,68,19,dark
177,245,181,light
217,173,139,light
115,104,124,dark
187,144,159,light
171,197,217,light
216,239,217,light
59,115,114,dark
238,189,210,light
61,115,53,dark
110,43,55,dark
126,110,80,dark
166,160,145,light
138,185,188,light
177,242,166,light
77,41,80,dark
157,196,144,light
18,91,122,dark
149,129,134,light
218,228,221,light
142,216,227,light
152,241,164,light
180,199,199,light
226,248,248,light
217,161,180,light
204,237,161,light
6,74,91,dark
215,140,197,light
5,124,62,dark
17,36,46,dark
194,127,197,light
49,30,83,dark
134,219,146,light
162,174,127,light
152,206,176,light
155,190,189,light
104,11,76,dark
146,163,149,light
37,8,94,dark
157,207,173,light
164,140,247,light
166,132,161,light
251,196,150,light
64,95,112,dark
85,88,75,dark
31,124,77,dark
67,60,111,dark
205,153,214,light
220,210,163,light
129,201,193,light
64,68,92,dark
71,6,70,dark
40,44,89,dark
157,218,202,light
38,123,93,dark
116,82,60,dark
190,159,249,light
51,12,105,dark
122,33,23,dark
249,242,190,light
245,218,156,light
27,52,8,dark
75,124,28,dark
217,176,144,light
240,244,151,light
98,84,8,dark
138,239,140,light
135,153,204,light
92,25,7,dark
205,133,161,light
68,104,119,dark
234,228,205,light
153,240,144,light
84,124,23,dark
167,186,155,light
4,101,56,dark
29,103,57,dark
245,178,140,light
252,229,190,light
194,189,170,light
148,248,172,light
207,182,247,light
14,95,36,dark
162,234,132,light
94,95,21,dark
118,65,72,dark
211,185,229,light
9,75,49,dark
221,156,145,light
239,190,243,light
85,81,14,dark
8,44,29,dark
141,205,185,light
167,247,222,light
186,152,221,light
224,229,136,light
246,130,162,light
95,4,118,dark
77,33,54,dark
96,49,36,dark
92,114,104,dark
163,138,190,light
101,28,24,dark
86,41,41,dark
236,166,149,light
0,2,20,dark
198,187,232,light
136,201,140,light
117,77,114,dark
